Artifact Number,Unit,Depth,Level,Material,Variety of Material,Type of Ware,Provenance,Period,Form,Vessel Part,Number of Pieces,Weight,Length,Width,Thickness,Thickness of base (complete profile),Height of foot rim,Thickness (foot rim),Diameter,MNV,Color Exterior Earthenware (Munsell),Color Interior Earthenware (Munsell),Color Profile Earthenware (Munsell),Remarks,Excavation Date
STABW104,F15-3,70,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,1,2,0.9,0.4,,,,,,,,,Late Ming. Exterior- Possibly part of a large flower wth a blue centre.,
STABW105,1004A NWT1-4A,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Unknown,Body,1,1,1.4,1,0.5,,,,,,,,,Ming. Exterior- Double parallel lines. Sherd is broken at a right angle --> Covered box?,
STABW106,G16-2,30-120,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Body,1,5,2.8,2.1,0.4,,,,,,,,,Ming. Exterior- figure appears to look like a duck. Interior- A long tendril from a flower.,
STABW107,Salvage,,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,161,15.9,9.7,0.3,,,,19,,,,,On the interior row of classic scrolls between a single line underneath the rim and two paralle lines on the cavetto of the bowl. The center of the bowl contains two concentric circles within which is a bouquet of lotus flower only the bottom half when the stalks/stems is visible. On the exterior lower part of the body is decorated by a row of lotus panels and pearls. Underneath the everted rim is a row of floral and leaf scrolls. Two sherds conjoined.,
STABW108,1000 AEB,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,1,1.5,1.3,0.1,,,,11.5,,,,,Yuan. Inverted Rim. Exterior-A single line followed by a leaf vine below. Interior- Possibly a leaf or floral vine.,
STABW109,1000 AEB,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Body,1,1,1.5,1.4,0.3,,,,,,,,,Yuan. Exterior- A single line followed by possibly a leaf vine. Interior- Pointed leaf probably originating from a pointed leaf vine.,
STABW110,1000 AEB,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Body,1,1,1.8,1.6,0.1,,,,,,,,,Yuan. Exterior- Leaf vine. Interior- Possibly frame-like design.,
STABW111,1000 AEB,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,1,1.6,1.3,0.2,,,,9.5,,,,,Yuan. Everted Rim. Exterior- Possibly the pointed ends of a pointed leaf vine. Interior- Possibly a classic scroll along the edge of the rim.,
STABW112,1000 AEB,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Body,1,1,0.9,0.9,0.1,,,,,,,,,Yuan. Interior- Single blue line. Exterior- Leaf vine,
STABW113,1000 AEB,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.1,0.9,0.3,,,,,,,,,Ming. Exterior- Jagged/zig-zag design.,
STABW114,D17-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Base,1,5,2.1,1.8,0.6,,1.6,,,,,,,Ming. Along the foot of the rim there are 3 parallel lines drawn one after the other. At the base of the bowl there is a double line appering to go in a circular fashion. On the right hand side there are some jagged lines which coulc come from a floral motif.,
STABW115,Salvage,,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Jarlet,Base,1,16,3,2.9,0.4,,,,,,,,,Cubical jarlet. Parts of two faces of the jarlet are visible. Square panel with leaf and likely floral patterns within them. Looks like blackberry leaves. Bottom of base is unglazed. Interior is unglazed.,
STABW116,D17-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Bowl,Body,1,2,1.9,1.6,0.3,,,,,,,,,Early Ming. Two faint blue lines on the exterior of the sherd appear to be curving inwards.,
STABW117,31,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Bowl,Rim,1,1,1.5,1.3,0.3,,,,12,,,,,Early Ming. Straight Rim. Exterior- Faint single blue line parallel to the edge of the rim.,
STABW118,Unknown,Unknown,3,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,1,1.6,1.1,0.5,,,,10,,,,,Ming. Straight Rim. One visible single line on the exterior of the sherd.,
STABW119,72,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1.6,0.7,0.3,,,,,,,,,Yuan. Patch of blue on surface but design unknown.,
STABW120,500 (?),70-80,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,3,2.8,2.3,0.3,,,,,,,,,Yuan. Exterior- Petal-panel on surface of the sherd enclosing a cloud design in the middle.,
STABW121,F17-1,50-100,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,2,2.3,2.1,0.4,,,,17,,,,,Ming. Inverted Rim. Interior- Single blue line running parallel to the edge of the rim. Exterior- Single blue line just below where the rim curves.,
STABW122,G21-1,50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Covered box,Lid,1,2,2,1.8,0.4,,,,8,,,,,Yuan. Exterior- Repetitive four petal flower along the curved surface of the covered box. Above that on the flat side there is a thick single blue line.,
STABW123,77,60-70,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,2,2.4,2,0.3,,,,11,,,,,Late Ming. Inverted Rim.  Exterior- Curved blue lines unknown decoration.,
STABW124,D21-1,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.6,1.5,0.2,,,,,,,,,Ming. Exterior- Possibly a peony/floral motif encased by a blue single line.,
STABW125,1000B,30-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Plate,Rim,1,3,3.6,2.7,0.2,,,,16,,,,,Late Ming. Straight slight inverted rim. Interior- Along the cavetto there is a band enclosed with two blue lines. Within the band there are cross-like designs and the band is painted in blue. Just below the cavetto there are small dots which depict small floral buds.,
STABW126,1004B,30-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Body,1,4,4,2.3,0.4,,,,,,,,,Middle Ming . Exterior- Part of a frame enclosed with thick blue lines. Unknown curved figure in the middle of the sherd.,
STABW127,F23-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,8,4.5,3.3,0.4,,,,20,,,,,Late Ming (16th Century). Everted Rim. Exterior- Cursive/wavy lines in an S shape. Interior- Lineswhich might have formed part of some plant depiction.,
STABW128,C17-3,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,1,1.7,1.3,0.2,,,,10.5,,,,,Yuan. Inverted Rim. Exterior- Double lines along the edge of the rim followed by a floral motifs. Interior- A classic scroll within a band of parallel lines. The line nearest to the edge of the rim' being thicker than the other side of the band.,
STABW129,F16-4,50-70,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,,1,1,1.2,1.1,0.3,,,,,,,,,Yuan. Exterior- part of a petal-panel,
STABW132,9 - 9A,Unknown,3,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Body,1,30,5.7,4.1,1.2,,,,,,,,,Middle Ming. Looks like part of base. Faint floral sprays encircled in a single blue line on the interior of the base.,
STABW133,66,Unknown,6,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,4,2.9,2.1,0.7,,,,,,,,,Ming. Looks like it is close to the base. In the interior there is a blue line probably part of a larger circle around the base of the vessel.,
STABW134,2012,40-120,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Cup,Rim,1,1,1.5,1.4,0.1,,,,10,,,,,Late Ming (16th C). Straight Rim. Repetititive cross patterns across the sherd which appears to be within a band of two single lines. The sherd is also painted in a shade of blue.,
STABW135,47,Level 3,3,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.6,1.5,0.3,,,,,,,,,Ming. Interior- Faint blue line encircling a design that looks like is part of a leafy plant. Exterior- Unknown design (?),
STABW136,73,50-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.4,1.4,0.4,,,,,,,,,Ming. Interior- Part of flowers with stalks. Exterior- Thick patch of blue Unknown design (?),
STABW137,41,,5,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Bottle,Body,1,6,4.8,3.3,0.4,,,,,,,,,Lotus panel with pearl. Part of a yuhuchun(玉壶春). Unglazed on the interior. Egg yellow white  glaze (luanbai luan卵白).,
STABW139,F20-1,50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,2.3,2.1,0.2,,,,,,,,,Yuan. Exterior- Could be part of a chrysanthemum flower,
STABW140,F20-1,50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1.8,1.1,0.3,,,,,,,,,Yuan. Exterior- Unknown design 2 parallel blue  lines,
STABW141,72,100-110,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Cup,Rim,1,1,1.4,0.9,0.2,,,,10,,,,,Ming. Everted Rim. Exterior- Unknown decoration. Interior- Blue curved line along the rim.,
STABW142,77,80-90,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,3,2.5,2.3,0.3,,,,11.5,,,,,Yuan. Everted Rim. Exterior- Part of a leaf vine. Interior- a classic scroll at the edge of the rim followed by a single thick blue line.,
STABW143,25,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.4,0.9,0.3,,,,,,,,,Ming. Exterior- faint parallel blue lines across the surface of the sherd.,
STABW144,25,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,1,1.2,0.5,0.3,,,,5,,,,,Ming. Straight Rim Rounded at the top. Exterior- Top part of the rim is painted with a light shade of blue. A dark blue line is visible across the body of the sherd. Interior- Curved line in an S shape across the body of the sherd.,
STABW145,85,Unknown,10,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Jarlet,Mouth,1,1,1.7,1.5,0.3,,,,2.5,,,,,Yuan. Everted Rim. Exterior- Part of a leaf vine with pointed leaves.,
STABW146,1004A,30-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,2,2.4,1.3,0.3,,,,,,,,,Ming. Exterior- Part of a cloud scroll,
STABW147,1004A,30-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Jarlet,Body,1,1,2.7,1.1,0.2,,,,,,,,,Early Ming. Exterior- Could potentially be part of a pointed leaf or a flower,
STABW148,H19-2,30-80,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Base,1,7,2.7,2,0.9,,0.6,0.4,3,,,,,Yuan. Interior- Could be part of a chrysanthemum or a peony.,
STABW149,57,Unknown,4,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,3.5,1.8,0.3,,,,,,,,,Ming. Exterior- Could be part of a thick leaf scroll,
STABW150,5009,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,2,1.9,1.4,0.3,,,,13,,,,,Ming. Straight rim. Exterior- patch of blue on the exterior. Interior- A single blue line parallel with the edge of the rim.,
STABW151,G19-1,50-Sterile,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,8,3.9,3.4,0.3,,,,12,,,,,Yuan. Everted Rim. Exterior- Floral sprays within a band made up of 2 parallel blue lines. Interior- Spiral swirl design along the rim of the sherd.,
STABW152,59,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Plate,Base,1,7,3.6,3.3,0.4,,0.7,0.3,13,,,,,Late Ming (17th C.). Interior- Part of a landscape. There is a repetitive pattern that resembles the (*). Exterior- Thin blue line encircling the foot of the base.,
STABW154,F16-4,70-110,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,2,2,1.3,0.5,,,,,,,,,Ming. Exterior- Cloud design across the surface of the sherd.,
STABW155,F16-4,70-110,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.4,1,0.4,,,,,,,,,Ming. Exterior-4 parallel blue lines,
STABW156,H18-1,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,2,1.9,1.6,0.4,,,,,,,,,Yuan. Exterior- Petals of a floral motif. From fallen wall.,
STABW157,25,Unknown,3,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.9,1,0.3,,,,,,,,,Ming. Exterior- 2 faint parallel lines. Interior- Part of a floral spray.,
STABW158,25,Unknown,3,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1,0.7,0.3,,,,,,,,,Ming. Exterior- 2 faint lines. Interior- Part of a vine?,
STABW159,25,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,1,1.2,1.9,0.3,,,,7,,,,,Ming. Straight Rim. Exterior- the curved part of the rim is painted with a faint shade of blue. Below that there is a curved blue line that could be part of a vine. Interior- Part of a leaf vine.,
STABW160,25,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,1,1.2,0.6,0.3,,,,7,,,,,Ming. Straight Rim. Exterior- the curved part of the rim is painted with a faint shade of blue. The design below that is not visible. Interior- Part of a leaf vine,
STABW161,57,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,2,2,1.9,0.3,,,,,,,,,Ming. Exterior- Could be part of the petal-panel frame.,
STABW162,57,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.2,1.1,0.3,,,,,,,,,Ming. Exterior- Part of a leaf with a pointed tip. The leaf could be part of a vine,
STABW164,F16-4,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1.1,0.9,0.3,,,,,,,,,Yuan. Faint lines on both interior and exterior. Design unknown. From fallen wall.,
STABW165,G18-2,80-110,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,1,1.9,1.1,0.2,,,,13,,,,,Ming. Inverted Rim. Exterior- 2 faint blue lines that run along the edge of the rim. Following that is a patch of blue with an unknown design. Interior- Single blue line that runs parallel along the edge of the rim.,
STABW166,F16-4,110- ?,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1,0.9,0.3,,,,,,,,,Yuan. Exterior- Part of a vine. Interior- Faint blue line,
STABW167,F20-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,2,1,0.3,,,,,,,,,Yuan. Exterior- Could be part of the frame of a petal-panel,
STABW168,70,50-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,1,1.9,1.1,0.3,,,,13.5,,,,,Ming. Straight Rim. Exterior- Thick blue line parallel to the rim of the sherd. Another blue stroke from another decoration. Interior- Blue line parallel to the rim of the sherd.,
STABW169,F17-1,50-70,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Rim,1,2,3.3,2.4,0.2,,,,15.5,,,,,Middle Ming. Everted Rim. Exterior- Part of a classic scroll?,
STABW170,72,40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,25,6,3.8,0.9,,,,,,,,,Late Ming. Exterior- Single blue curved line. Interior- Single blue line that would possibly run in a circular fashion around the vessel. Unknown design painted in blue.,
STABW171,72,40- ?,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Body,1,1,1.4,1.4,0.2,,,,,,,,,Yuan. Exterior- Could possibly be a pointed leaf in a leaf vine.,
STABW172,F18-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,6,3.6,2.2,0.7,,,,,,,,,Ming. Interior- Concentric circles with a stroke of blue. Exterior- One stroke of blue.,
STABW173,F18-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,3,2.3,1.1,0.6,,,,,,,,,Ming. Interior- Thick brush strokes that constitute an unknown design. Exterior- Vertical line across the body of the sherd.,
STABW174,F18-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,2,1.8,1.4,0.5,,,,,,,,,Ming. Interior- Could be part of petals of a floral motif. Exterior- Possibly a dragon pearl within a frame?,
STABW175,D17,30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,2,2.2,1.8,0.3,,,,,,,,,Yuan. Exterior- Cloud scroll made up of curved lines of different thickness of blue.,
STABW176,3001A,40-120,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Base,1,26,5.3,2.8,0.8,,1.9,,,,,,,Yuan. No visible decorations except a slight blue line on the interior.,
STABW177,G20-1,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,14,5.8,4.1,0.4,,,,16,,,,,Late Ming. Everted Rim. Exterior-2 parallel single lines along the edge of the rim. Following that  a grape vine that occupies the main body of the sherd. Interior- One single blue line at the top of the rim.,
STABW178,F20-3,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Rim,1,8,3.9,3.8,0.3,,,,15,,,,,Middle Ming. Everted Rim. Exterior- Faint classical scroll at the top of the rim. A floral vine with sharp pointed leaves are below the scroll. Interior- Faint blue line parallel to the rim. Unknown design on the surface of the sherd.,
STABW179,C19-1,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Plate,Rim,1,4,3.6,2.2,0.3,,,,19,,,,,Early Ming (luanbai). Straight everted horizontal rim.Exterior- A swirl design enclosed within a band of single parallel lines along the cavetto. Below the band there is a fainter blue single line. Interior- Concentric half circles along the external cavetto of the plate.,
STABW180,76,50-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Base,1,2,2.5,1.4,0.2,,0.3,,,,,,,Yuan. Exterior- Thick horizontal blue line near the base of the sherd.,
STABW181,5005,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,1,1.2,0.8,0.3,,,,10.5,,,,,Yuan. Inverted Rim. Interior- Single blue line. Exterior- Double blue line followed by possibly a floral or leaf vine,
STABW182,1009,0-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,3,2.7,2.5,0.3,,,,20,,,,,Late Ming. Everted Rim. Interior- Single stroke of blue parallel to the edge of the rim. Exterior- Identical single blue brush stroke as interior with ? Motif,
STABW183,61,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,1,1.8,1.7,0.4,,,,18,,,,,Yuan. Everted Rim. Interior- Single blue line parallel to the edge of the rim .Exterior- Single blue line parallel to the edge of the rim and decoration possibly from a floral motif.,
STABW184,F20-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,1,1.2,1,0.2,,,,,,,,,Late Ming (16th-17th C) Exterior- Sherd was probably broken somewhere close to the rim. A thick layer painted blue followed by a single horizontal line.,
STABW185,G18-4,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,0.9,0.5,0.2,,,,,,,,,Yuan. Exterior- Traces of blue but no clear indication of possible decoration.,
STABW186,1000B,30-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century,Plate,Body,1,2,3,1.2,0.4,,,,,,,,,Ming (16th C.) Could be part of the depiction of a landscape. The sherd could have been part of a house with a roof made up of a cross design.,
STABW187,37,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,2,2.1,2,0.4,,,,,,,,,Ming. Exterior- Could possibly be the depiction of a floral motif with the petals drawn using a single blue line. Interior- A single blue line and what appears to be part of a flower petal.,
STABW188,5,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,2,3.4,2.9,0.4,,,,,,,,,Yuan. Much of the glaze has disintegrated on both the interior and exterior of the sherd. There could have been a complex floral scroll on the exterior of the sherd.,
STABW189,40,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,2,3,1.7,0.4,,,,16.5,,,,,Late Ming. Everted Rim. Exterior- A motif that appears to originate from thin leaves that could be part of an aquatic plant.,
STABW190,40,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,2,2.5,2.5,0.3,,,,20,,,,,Yuan. Inverted Rim. Exterior-a single blue line followed by a leaf vine. Interior- A single blue line followed by a cloud scroll,
STABW191,H20-1,50-70,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,2,2.7,1.3,0.5,,,,,,,,,Ming. Exterior- Part of a leaf motif.,
STABW192,1001B,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,7,3.5,3.4,0.3,,,,11,,,,,Yuan. Everted Rim. Exterior- a single blue line parallel to the edge of the rim followed by a floral vine that consists of berries pointed leaves and flowers. Interior- A classic scroll banded within a single line and a double line.,
STABW193,5001,40-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century,Bowl,Rim,1,6,4,2.5,0.4,,,,22,,,,,Late Ming (16th C). Inverted Rim. Interior and Exterior- Thick blue line painted parallel to the edge of the rim.,
STABW194,F21-4,45-70,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Bowl,Rim,1,6,4,2.5,0.5,,,,21,,,,,Early Ming. Everted low scalloped rim. Exterior-  A thick blue brush stroke that runs parallel to the edge of the rim. Following that is a floral motif banded within double lines. Interior- A leaf scroll banded within parallel single lines.,
STABW195,2006,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,1,1.2,0.9,0.4,,,,,,,,,Late Ming. Exterior- Could possibly be part the leaves of a leafy plant. Interior- Some traces of blue but no clear design.,12/27/2003
STABW196,2006,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,3,3.9,1.7,0.4,,,,,,,,,Yuan. Exterior- Part of a leaf vine with sharp leaves. Interior- A single line that could indicate tht it is part of a leaf vine as well.,
STABW197,64,50-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,1,1.8,1.4,0.3,,,,,,,,,Late Ming. Exterior- A single blue line followed by possibly a floral motif or vine as indicated by the petals depicted on the sherd.,
STABW198,1000B,30-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,1,2,1.6,0.3,,,,,,,,,Yuan. Everted Rim. Exterior- Thick parallel double line along the edge of the rim followed by possibly a leaf vine. Interior- A single line followed by a cloud scroll.,
STABW199,2005,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century17th century,Jarlet,Body,1,2,2.6,1.9,0.3,,,,,,,,,Yuan-Ming. Exterior- A thick curved blue line. Interior- No glaze.,
STABW200,2005,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1.6,0.8,0.3,,,,,,,,,Yuan. Exterior- A single blue line followed by what could possibly be the leaf of a leafy vine.,
STABW201,1009,40-120,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1,0.9,0.4,,,,,,,,,Yuan. Exterior- Patch of blue but design unknown.,
STABW202,1005B,40-120,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,1,1.4,1.4,0.3,,,,13,,,,,Yuan. Inverted Rim. Exterior- A single line followed by a classic scroll. Interior- A single line followed by a leafy vine.,
STABW203,1005B,40-120,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,1,1.6,1.5,0.3,,,,13,,,,,Yuan. Inverted Rim. Exterior- A single line followed by a classic scroll. Interior- A single line followed by a leafy vine. (Same vessel as previous sherd),
STABW204,25,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1.1,0.8,0.4,,,,,,,,,Yuan. Exterior- Could be part of a leaf vine.,
STABW205,1003A,30-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,1,1,0.8,0.3,,,,9.5,,,,,Yuan. Inverted Rim. Exterior- Design unclear. Interior- Could be part of a leaf vine.,
STABW206,G21-1,50-70,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Base,1,5,3.7,2.9,0.4,,0.9,,,,,,,Yuan. Exterior- Design unclear.,
STABW207,72,80-90,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,2,2.8,1.8,0.3,,,,,,,,,Ming. Exterior- Design unclear,
STABW208,78,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,2,2.1,1.9,0.3,,,,19,,,,,Yuan. Straight rim. Exterior- Single blue line followed by possibly a leaf vine as indicated from pointed leaf at the corner of the sherd.,
STABW209,H20-4,80,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,3,2.6,1.4,0.4,,,,,,,,,Ming. Design unclear,
